 disease ,drug,zscore,,,
C0278996,DB00290,-3.769687329,,,
C0278996,DB00563,-0.356480347,1.634615385,1.654759615,0.056508671
C0278996,DB01005,-0.955508398,1.428571429,1.543928571,0.120728549
C0278996,DB01248,-3.782254399,1.275862069,1.505827586,0.060801176
C0278701,DB05578,-3.162664843,0.666666667,1.1765,0.161203719
C0278488,DB00441,-3.351506523,,,
C0278488,DB00539,-1.776701543,,,
C0278488,DB00544,-2.791553621,,,
C0278488,DB00570,-0.809200322,1.6,1.682466667,0.101911312
C0278488,DB00783,-2.209903719,1.5,1.69975,0.090388553
C0278488,DB00997,-3.128255906,1.434782609,1.665434783,0.073731875
C0278488,DB01101,-3.164246719,1.454545455,1.756181818,0.095326436
C0278488,DB01229,-3.991814993,1.291666667,1.587864583,0.074201314
C0278488,DB01248,-3.506672918,1.356321839,1.627747126,0.077402511
C0278488,DB04845,-2.216078735,1.285714286,1.537,0.113392052
C0278488,DB08871,-2.811105354,0.833333333,1.314666667,0.171225647
C0271623,DB00624,1.618016888,1.742857143,1.637171429,0.065318054
C0271578,DB00302,0.273830683,,,
C0271578,DB00717,-1.29532365,1.875,2.0715,0.151699539
C0271578,DB00783,-0.085637158,1.964285714,1.970642857,0.074233464
C0271578,DB01357,0.336567258,2.111111111,2.061,0.148888847
C0271578,DB04575,-1.008479788,1.6,1.7716,0.170157104
C0271084,DB00460,0.389249472,,,
C0271084,DB01270,-11.20546917,0.25,1.92425,0.149413646
C0271084,DB08885,-4.839226669,1.2,2.0834,0.182549829
C0270846,DB00186,-7.200165908,,,
C0270846,DB01068,-6.063481924,1.380952381,1.941714286,0.09248183
C0242422,DB00190,-3.367124759,,,
C0242422,DB00340,1.474373285,,,
C0242422,DB00376,-2.765543824,,,
C0242422,DB00387,0.783570474,,,
C0242422,DB00810,0.368375911,2,1.903666667,0.261508232
C0242422,DB00915,0.056888012,2,1.98,0.351567917
C0242422,DB00988,-1.479817656,1.222222222,1.372666667,0.101664177
C0242422,DB01173,0.018549054,1.8,1.7964,0.194079984
C0242422,DB01186,-1.09728197,1.333333333,1.592666667,0.236341561
C0242422,DB01235,-2.796776954,1.205882353,1.434882353,0.081879965
C0242383,DB00137,-2.198523795,,,
C0242379,DB00309,-0.395196023,,,
C0242379,DB00563,-3.296438957,1.048076923,1.196230769,0.044943604
C0242379,DB00888,-4.101762627,0,0.973,0.237215092
C0242379,DB00997,-8.382280133,0.75,1.098217391,0.041542085
C0242350,DB00203,-5.528589526,,,
C0242350,DB00770,1.166287472,2.125,1.97,0.132900339
C0242350,DB00820,-1.2646237,1.666666667,1.918,0.198741597
C0242350,DB00862,-2.07190727,1.5,1.957,0.220569717
C0242350,DB06237,-6.385437503,0,1.987,0.311176799
C0242350,DB06267,-6.385437503,0,1.987,0.311176799
C0242350,DB09205,0.31439204,2,1.9355,0.205157866
C0238463,DB09078,-4.015207207,0.75,1.258416667,0.126622772
C0238198,DB00619,-2.957933781,1.316666667,1.50835,0.064803118
C0238198,DB01268,-4.005107945,1.157894737,1.495842105,0.084379091
C0238198,DB08896,-5.964568173,0.75,1.299321429,0.092097435
C0235480,DB01182,-2.313845856,1.25,1.617875,0.158988551
C0235480,DB01195,-3.209477812,1,1.6816,0.212370996
C0235480,DB04855,-3.358614869,1.125,1.637875,0.15270432
C0235063,DB00561,-0.793034967,2,2.392,0.49430355
C0232940,DB00396,0.185496797,,,
C0232940,DB00603,-2.000391688,1.5,1.742142857,0.121047722
C0232940,DB00717,-0.655733154,1.75,1.854875,0.159935485
C0231528,DB00788,0.697902245,1.833333333,1.748916667,0.120957723
C0220994,DB00581,0.920984734,2,1.81925,0.196257325
C0220994,DB03793,-0.276998063,2,2.102,0.368233621
C0206682,DB09078,-4.69115536,0.916666667,1.6175,0.149394612
C0162316,DB00115,-0.179977229,,,
C0162316,DB00158,-0.823065849,,,
C0155626,DB00009,-4.381460244,,,
C0155626,DB00015,-3.45945277,,,
C0155626,DB00031,-1.777626805,,,
C0153633,DB00262,-4.034027938,,,
C0151721,DB00624,0.419829485,2.028571429,1.998057143,0.07268257
C0151721,DB01185,-1.240513671,1.333333333,1.671,0.272199069
C0151721,DB01420,-1.239541165,1.4,1.6422,0.195394882
C0151721,DB06710,-1.370483008,1.4,1.6636,0.192340947
C0149931,DB00201,0.130403416,,,
C0149931,DB00216,-3.925165734,,,
C0149931,DB00315,-4.677042524,,,
C0149931,DB00316,0.487307232,,,
C0149931,DB00320,-4.492646098,,,
C0149931,DB00589,-3.5397411,0.666666667,1.561,0.252655013
C0149931,DB00669,-5.425648701,0.846153846,1.550615385,0.129839136
C0149931,DB00696,-5.127434905,0.5,1.8845,0.270018055
C0149931,DB00788,0.407527732,1.666666667,1.613583333,0.130256984
C0149931,DB00918,-5.127434905,0.5,1.8845,0.270018055
C0149931,DB00945,-2.072736402,1.38028169,1.502098592,0.058771053
C0149931,DB00952,-5.922678732,0.333333333,1.814333333,0.250055772
C0149931,DB00953,-5.127434905,0.5,1.8845,0.270018055
C0149931,DB00998,-5.127434905,0.5,1.8845,0.270018055
C0149931,DB01174,-0.058346792,1.666666667,1.671194444,0.077601144
C0149925,DB00773,-3.485339087,1.254901961,1.493392157,0.068426684
C0149925,DB00997,-3.676993183,1.27173913,1.489934783,0.059340782
C0149925,DB01030,-5.287747245,0.866666667,1.464133333,0.112990776
C0149871,DB00569,-7.362744511,0,1.987,0.269872192
C0149871,DB00682,-2.761587565,1.75,1.968805556,0.079231801
C0149871,DB01109,-5.358644666,1.551724138,1.941827586,0.072798902
C0149871,DB01225,-9.244155661,0.333333333,1.953333333,0.175245859
C0149782,DB09035,-6.192788815,0.6,1.312533333,0.115058555
C0085682,DB00136,-3.359587006,,,
C0085682,DB00146,-2.56369792,,,
C0085682,DB01070,-3.395886731,0,1.702,0.501194573
C0085631,DB00683,-0.182985804,1.742857143,1.7566,0.075103406
C0085612,DB00280,-4.375112885,,,
