disease,drug,zscore,d,mean,sd
C0036341,DB00784,-3.4373005074212437,0.6,1.1447,0.1584673783464597
C0007102,DB00240,0.9007783600900136,1.3333333333333333,1.1336666666666666,0.22166015028015798
C0040147,DB00268,0.6512221884813112,2.0,1.87,0.19962464777677127
C0020443,DB09343,-0.12958235518734473,1.0,1.034,0.26238140177992797
C0003868,DB06290,-3.1875080320015345,1.4285714285714286,1.9082857142857144,0.1504982202077961
C0020538,DB00850,-4.695253632525865,0.6,1.0915333333333332,0.10468728034802827
C0033774,DB00959,-2.558363455497655,1.2666666666666666,1.5260666666666667,0.1013929429935284
C0023487,DB09477,0.25974178913837925,2.0,1.917,0.3195481184422778
C0030193,DB01274,-2.716923900664067,1.0,1.5546666666666664,0.20415244848451425
C0024141,DB00492,-3.371791861254681,0.0,1.679,0.49795481722742685
C0011606,DB00819,0.8033566748697243,2.090909090909091,1.9975454545454545,0.11621691744675745
C0018021,DB00288,-2.262530679505526,1.2857142857142858,1.6381428571428573,0.15576742212644581
C0007847,DB00748,-1.0619101607618158,1.5,1.8065,0.2886308195602126
C0004604,DB01330,-1.3920300064858042,1.5555555555555556,1.7735555555555556,0.15660581954719746
C0003873,DB06786,-3.39254745078315,0.3333333333333333,0.9113333333333332,0.17037344602698834
C0027051,DB00725,-2.1458864253888223,1.0,1.5615,0.26166342885470256
C0011860,DB00007,-3.790446874926687,0.75,1.430125,0.1794313500339336
C0238198,DB00434,0.6125144412167755,2.0,1.88025,0.19550559454910746
C0026764,DB08877,-1.6312795894979188,1.1111111111111112,1.315777777777778,0.12546388000211528
C0024138,DB00978,-1.2697490291729285,1.5,1.8395,0.2673756720421662
C0020649,DB01013,0.21592290145439325,1.3333333333333333,1.2996666666666665,0.15591985120567553
C0042345,DB01291,-0.3211726365433138,1.0,1.12,0.37363083384538814
C0585442,DB00411,-0.4240107573154627,1.6,1.6862000000000004,0.20329672894564732
C0740394,DB00635,-1.4238136138068587,1.6774193548387097,1.7977741935483869,0.08452991145932626
C0006114,DB00230,0.8862429349759678,2.2916666666666665,2.219,0.08199407160141384
C0038013,DB06168,-2.539908486936181,0.0,1.304,0.5134043240955417
C0024301,DB00026,-0.7079495786027202,1.75,1.8525,0.14478432235570257
C0017612,DB01380,-0.6097065790057157,1.0,1.271,0.4444760960951668
C0004096,DB00624,-1.1058618477900948,1.2285714285714286,1.3141142857142856,0.07735401787646619
C0030567,DB00415,0.3424954595639259,1.2727272727272727,1.229818181818182,0.1252836781069266
C0003850,DB00617,0.6134248243417018,2.0,1.8573333333333335,0.23257400255975874
C0015397,DB00996,-0.7137219879257239,1.8518518518518519,1.907925925925926,0.07856570908939087
C0019829,DB00798,-2.026611312849209,1.45,1.6496999999999997,0.09853887557710407
C0085682,DB00046,0.5542468245138265,2.0,1.765,0.42399882075307715
C0149871,DB01620,0.1085938184374831,2.0,1.974,0.23942430954270283
